Substance Name,CASRN,LD50,Smiles,MW,Normalized_LD50
D-Fructose,57-48-7,6782,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,180.15599999999998,37.64515197939564
D-Glucose,50-99-7,5989,OCC1OC(O)C(O)C(O)C1O,180.156,33.24341126579187
D-Trehalose,99-20-7,11409,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,342.297,33.330704037721624
Sucrose,57-50-1,13244,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,342.297,38.69154564603254
